Unnamed: 0;NAME;Sector;Country;REUTERS_CODE;YAHOO_CODE;DEDUCED
386;WIENERBERGER;Construction and Materials;AT;WBSV.VI;WIE.VI;WBSV.VI
387;LUFTHANSA;Travel and Leisure;DE;LHAG.DE;LHA.DE;
388;ADDLIFE;Health Care;SE;ALIFB.ST;ALIF-B.ST;ALIFB.ST
389;LUNDBERGFORETAGEN B;Financial Services;SE;LUNDB.ST;LUND-B.ST;LUNDB.ST
390;TRAVIS PERKINS;Retail;GB;TPK.L;TPK.L;TPK.L
391;FABEGE;Real Estate;SE;FABG.ST;FABG.ST;FABG.ST
392;DERWENT LONDON;Real Estate;GB;DLN.L;DLN.L;DLN.L
393;REPLY;Technology;IT;REY.MI;REY.MI;REY.MI
394;WISE A;Industrial Goods and Services;GB;WISEA.L;WISE.L;
395;GJENSIDIGE FORSIKRING;Insurance;NO;GJFS.OL;GJF.OL;GJFS.OL, BEARGJFX3DN.OL, BULLGJFX3DN.OL
396;AEDIFICA;Real Estate;BE;AOO.BR;AED.BR;AOO.BR
397;BRIDGEPOINT GROUP;Financial Services;GB;BPTB.L;BPT.L;
398;BACHEM HOLDING;Health Care;CH;BANB.S;BANB.SW;BANB.S
399;ORION B;Health Care;FI;ORNBV.HE;ORNBV.HE;
400;ROYAL MAIL;Industrial Goods and Services;GB;RMG.L;RMG.L;
401;NOKIAN RENKAAT;Automobiles and Parts;FI;TYRES.HE;TYRES.HE;TYRES.HE
402;SIMCORP;Technology;DK;SIM.CO;SIM.CO;SIM.CO
403;STOREBRAND;Insurance;NO;STB.OL;STB.OL;STB.OL, BEARSTBDN.OL, BULLSTBDN.OL
404;EVRAZ;Basic Resources;GB;EVRE.L;EVR.L;EVRE.L
405;CLARIANT;Chemicals;CH;CLN.S;CLN.SW;CLN.S
406;BANCO BPM;Banks;IT;BAMI.MI;BAMI.MI;
407;UNITE GROUP PLC;Real Estate;GB;UTG.L;UTG.L;UTG.L
408;ADEVINTA;Consumer Products and Services;NO;ADEB.OL;ADE.OL;ADEB.OL
409;CONVATEC PLC;Health Care;GB;CTEC.L;CTEC.L;CTEC.L
410;AVANZA BANK HLDG;Banks;SE;AVANZ.ST;AZA.ST;AVANZ.ST
411;AVAST PLC;Technology;GB;AVST.L;AVST.L;AVST.L
412;AMS AG;Technology;CH;AMS.S;AMS.SW;AMS.S
413;DIRECT LINE INSURANCE GROUP;Insurance;GB;DLGD.L;DLG.L;DLGD.L
414;KOJAMO OYJ;Real Estate;FI;KOJAMO.HE;KOJAMO.HE;KOJAMO.HE
415;GALP ENERGIA;Energy;PT;GALP.LS;GALP.LS;GALP.LS
416;GENUS;Health Care;GB;GNS.L;GNS.L;GNS.L
417;BELLWAY;Consumer Products and Services;GB;BWY.L;BWY.L;BWY.L
418;DEMANT;Health Care;DK;DEMANT.CO;DEMANT.CO;DEMANT.CO
419;FUTURE;Media;GB;FUTR.L;FUTR.L;FUTR.L
420;CENTRICA;Utilities;GB;CNA.L;CNA.L;CNA.L
421;SWEDISH ORPHAN BIOVITRUM;Health Care;SE;SOBIV.ST;SOBI.ST;SOBIV.ST
422;AMBU 'B';Health Care;DK;AMBUB.CO;AMBU-B.CO;AMBUB.CO
423;DOMETIC GROUP AB;Consumer Products and Services;SE;DOMETIC.ST;DOM.ST;DOMETIC.ST
424;RATIONAL;Industrial Goods and Services;DE;RAAG.DE;RAA.DE;RAAG.BE
425;SECURITAS B;Industrial Goods and Services;SE;SECUB.ST;SECU-B.ST;SECUB.ST
426;ENAGAS;Energy;ES;ENAG.MC;ENG.MC;
427;DIPLOMA;Industrial Goods and Services;GB;DPLM.L;DPLM.L;DPLM.L
428;TRITAX BIG BOX REIT;Real Estate;GB;BBOXT.L;BBOX.L;BBOXT.L
429;KGHM;Basic Resources;PL;KGH.WA;KGH.WA;KGH.WA
430;BEIJER REF AB;Industrial Goods and Services;SE;BEIAB.ST;BEIA-B.ST;BEIAB.ST
431;ELECTROLUX B;Consumer Products and Services;SE;ELUXB.ST;ELUX-B.ST;ELUXB.ST, ELUXA.ST
432;NETCOMPANY GROUP AS;Technology;DK;NETCG.CO;NETC.CO;NETCG.CO
433;ROYAL UNIBREW;Food, Beverage and Tobacco;DK;RBREW.CO;RBREW.CO;RBREW.CO
434;BANK OF IRELAND GROUP;Banks;IE;BIRG.I;BIRG.IR;
435;TENARIS;Energy;IT;TENR.MI;TEN.MI;TENR.MI
436;LANXESS;Chemicals;DE;LXSG.DE;LXS.DE;LXSG.BE
437;IAG;Travel and Leisure;GB;ICAG.L;IAG.L;
438;HIKMA PHARMACEUTICALS;Health Care;GB;HIK.L;HIK.L;HIK.L
439;TECAN;Health Care;CH;TECN.S;TECN.SW;TECN.S
440;TRELLEBORG B;Industrial Goods and Services;SE;TRELB.ST;TREL-B.ST;TRELB.ST
441;SIEMENS GAMESA;Energy;ES;SGREN.MC;SGRE.MC;
442;Naturgy Energy Group;Utilities;ES;NTGY.MC;NTGY.MC;
443;LATOUR INVESTMENT B;Financial Services;SE;LATOB.ST;LATO-B.ST;LATOB.ST
444;ICA GRUPPEN;Personal Care, Drug and Grocery Stores;SE;ICAA.ST;ICA-A.ST;ICAA.ST
445;DIASORIN;Health Care;IT;DIAS.MI;DIA.MI;DIAS.MI
446;AVEVA GRP;Technology;GB;AVV.L;AVV.L;AVV.L
447;Valmet;Industrial Goods and Services;FI;VALMT.HE;VALMT.HE;VALMT.HE
448;PZU GROUP;Insurance;PL;PZU.WA;PZU.WA;PZUAKORD.WA
449;CASTELLUM;Real Estate;SE;CAST.ST;CAST.ST;CAST.ST
450;JOHNSON MATTHEY;Chemicals;GB;JMAT.L;JMAT.L;JMAT.L
451;BRITISH LAND COMPANY;Real Estate;GB;BNLD.L;BLND.L;BLND.L, 33DR.L, 33DS.L, 33DT.L, 33DU.L, 70QA.L
452;JERONIMO MARTINS;Personal Care, Drug and Grocery Stores;PT;JMT.LS;JMT.LS;JMT.LS, 0EXG.L
453;NORDIC SEMICONDUCTOR;Technology;NO;NOD.OL;NOD.OL;NOD.OL
454;PSP SWISS PROPERTY;Real Estate;CH;PSPN.S;PSPN.SW;PSPN.S
455;INTERPUMP GRP;Industrial Goods and Services;IT;ITPG.MI;IP.MI;ITPG.MI
456;INDUSTRIVARDEN A;Financial Services;SE;INDUA.ST;INDU-A.ST;INDUA.ST, INDUC.ST
457;THULE GROUP;Consumer Products and Services;SE;THULE.ST;THULE.ST;THULE.ST
458;GRIFOLS;Health Care;ES;GRLS.MC;GRF.MC;
459;BELIMO HOLDING;Construction and Materials;CH;BEAN.S;BEAN.SW;BEAN.S
460;VIFOR PHARMA;Health Care;CH;VIFN.S;VIFN.SW;VIFN.S
461;AALBERTS;Industrial Goods and Services;NL;AALB.AS;AALB.AS;AALB.AS
462;SPECTRIS;Industrial Goods and Services;GB;SXS.L;SXS.L;SXS.L
463;BECHTLE;Technology;DE;BC8G.DE;BC8.DE;BC8G.BE
464;ITV;Media;GB;ITV.L;ITV.L;ITV.L
465;SCOUT24;Technology;DE;G24N.DE;G24.DE;
466;EVONIK INDUSTRIES;Chemicals;DE;EVKN.DE;EVK.DE;EVKN.BE
467;IMI;Industrial Goods and Services;GB;IMI.L;IMI.L;IMI.L
468;SIGNIFY;Construction and Materials;NL;LIGHT.AS;LIGHT.AS;LIGHT.AS
469;GEORG FISCHER;Industrial Goods and Services;CH;FIN.S;FIN.SW;FIN.S
470;WEIR GRP;Industrial Goods and Services;GB;WEIR.L;WEIR.L;WEIR.L
471;ADDTECH B;Industrial Goods and Services;SE;ADDTB.ST;ADDT-B.ST;ADDTB.ST
