,as_of,ticker
4693,2010-11-08,FITB
4717,2012-02-29,FITB
4739,2011-11-09,FITB
4748,2013-08-07,FITB
4754,2013-11-06,FITB
4755,2013-05-09,FITB
4765,2014-08-07,FITB
4780,2009-07-31,LLY
4781,2009-10-30,LLY
4783,2016-05-06,FITB
4784,2019-03-01,FITB
4789,2016-11-09,FITB
4797,2017-02-24,FITB
4798,2017-05-05,FITB
4799,2017-08-08,FITB
4800,2018-05-04,FITB
4801,2009-07-31,NEE
4802,2009-10-30,NEE
4803,2010-02-26,NEE
4804,2010-08-06,NEE
4805,2010-11-03,NEE
4806,2019-08-08,FITB
4807,2019-11-08,FITB
4808,2019-05-10,FITB
4809,2020-11-05,FITB
4814,2012-07-27,NEE
4815,2023-05-09,FITB
4816,2023-08-07,FITB
4819,2012-10-26,NEE
4820,2014-02-24,NEE
4821,2013-07-31,NEE
4822,2015-02-20,NEE
4823,2023-11-07,FITB
4824,2024-02-27,FITB
4825,2024-05-07,FITB
4826,2024-08-06,FITB
4827,2014-11-07,NEE
4828,2016-02-22,NEE
4829,2015-05-01,NEE
4830,2016-04-29,NEE
4835,2024-11-05,FITB
4836,2025-11-04,FITB
4837,2026-02-24,FITB
4838,2026-05-05,FITB
4839,2016-07-28,NEE
4840,2016-11-01,NEE
4841,2017-02-23,NEE
4842,2017-10-26,NEE
4854,2018-04-24,NEE
4855,2018-07-25,NEE
4856,2018-10-23,NEE
4857,2019-02-15,NEE
4858,2019-04-23,NEE
4859,2019-07-24,NEE
4860,2020-10-23,NEE
4861,2021-02-12,NEE
4866,2021-07-26,NEE
4870,2021-10-25,NEE
4871,2022-02-18,NEE
4872,2022-04-22,NEE
4873,2022-07-27,NEE
4874,2022-11-03,NEE
4875,2023-02-17,NEE
4883,2023-04-26,NEE
4891,2023-07-26,NEE
4892,2023-11-07,NEE
4893,2024-02-16,NEE
4894,2024-04-23,NEE
4895,2024-07-24,NEE
4899,2024-10-23,NEE
4900,2025-02-14,NEE
4901,2025-07-23,NEE
4905,2010-02-26,FITB
5032,2013-02-19,NI
5033,2012-05-01,NI
5038,2013-10-31,NI
5045,2015-08-03,NI
5046,2015-11-03,NI
5047,2016-02-18,NI
5048,2016-05-03,NI
5049,2016-08-02,NI
5054,2016-11-01,NI
5055,2017-02-22,NI
5056,2011-06-28,CASY
5057,2010-09-09,CASY
5058,2017-05-03,NI
5059,2017-08-02,NI
5060,2018-11-01,NI
5061,2018-08-01,NI
5062,2020-11-02,NI
