,as_of,ticker
8103,2014-07-31,PSX
8106,2014-10-30,PSX
8107,2015-02-20,PSX
8108,2015-10-30,PSX
8109,2016-02-19,PSX
8110,2018-10-26,PSX
8111,2020-02-21,PSX
8112,2020-10-30,PSX
8122,2021-02-24,PSX
8123,2022-02-18,PSX
8128,2021-04-30,PSX
8139,2022-11-09,PSX
8140,2023-02-22,PSX
8141,2023-05-04,PSX
8142,2023-08-04,PSX
8146,2023-11-03,PSX
8147,2024-04-29,PSX
8148,2024-07-31,PSX
8149,2025-10-29,PSX
8152,2009-08-04,COP
8153,2010-02-25,COP
8156,2009-11-03,COP
8164,2010-05-04,COP
8165,2010-08-05,COP
8169,2010-11-02,COP
8170,2012-12-03,COP
8171,2011-05-03,COP
8172,2012-07-31,COP
8175,2012-10-30,COP
8176,2014-02-25,COP
8180,2009-11-02,GLW
8181,2010-02-10,GLW
8182,2010-04-30,GLW
8198,2009-07-29,GLW
8215,2010-11-01,GLW
8222,2011-02-10,GLW
8225,2011-07-29,GLW
8226,2011-10-27,GLW
8241,2012-02-13,GLW
8264,2013-02-13,GLW
8265,2013-04-26,GLW
8268,2013-07-31,GLW
8269,2013-10-30,GLW
8270,2015-02-13,GLW
8271,2014-04-28,GLW
8272,2014-07-31,GLW
8277,2014-10-29,GLW
8283,2025-05-08,COP
8284,2025-08-07,COP
8285,2025-11-06,COP
8286,2016-02-12,GLW
8298,2016-10-27,GLW
8299,2018-02-15,GLW
8345,2012-10-24,META
8467,2013-03-01,REG
8468,2013-11-01,REG
8469,2013-08-02,REG
8470,2014-05-08,REG
8475,2012-02-27,GM
8476,2014-08-08,REG
8487,2016-02-18,REG
8491,2017-08-08,REG
8492,2016-11-04,REG
8493,2018-02-27,REG
8497,2019-11-04,REG
8498,2020-02-18,REG
8502,2013-05-01,J
8503,2013-08-01,J
8504,2013-11-22,J
8505,2020-05-08,REG
8506,2020-08-04,REG
8507,2020-11-06,REG
8508,2021-02-17,REG
8509,2021-05-07,REG
8511,2021-08-06,REG
8512,2021-11-05,REG
8513,2022-02-17,REG
8514,2022-05-06,REG
8515,2022-08-05,REG
8516,2022-11-04,REG
8517,2023-02-17,REG
8518,2023-05-05,REG
8519,2023-08-04,REG
8527,2025-08-04,REG
8528,2025-11-05,REG
8529,2026-02-13,REG
8530,2026-05-04,REG
