,as_of,ticker
7232,2012-07-26,PHM
7233,2013-04-25,PHM
7234,2013-07-25,PHM
7239,2012-10-25,PHM
7240,2012-02-28,CME
7244,2014-02-05,PHM
7247,2011-08-05,CME
7248,2011-11-09,CME
7267,2016-05-04,CME
7268,2016-08-04,CME
7314,2011-02-17,CMG
7315,2010-07-27,CMG
7321,2010-10-22,CMG
7327,2012-02-10,CMG
7328,2011-04-21,CMG
7329,2011-07-21,CMG
7330,2011-10-21,CMG
7331,2012-04-20,CMG
7332,2012-07-20,CMG
7333,2012-10-19,CMG
7334,2013-04-19,CMG
7335,2013-07-19,CMG
7337,2013-10-18,CMG
7338,2014-02-05,CMG
7339,2014-04-17,CMG
7340,2014-07-22,CMG
7344,2014-10-21,CMG
7345,2015-04-22,CMG
7346,2015-07-22,CMG
7347,2015-10-21,CMG
7348,2016-02-05,CMG
7349,2016-10-26,CMG
7362,2019-02-08,CMG
7363,2018-10-26,CMG
7365,2019-04-25,CMG
7366,2019-07-24,CMG
7367,2019-10-23,CMG
7371,2024-04-30,GEV
7372,2024-07-24,GEV
7377,2024-10-23,GEV
7400,2011-11-08,PLD
7432,2016-07-22,PAYX
7453,2009-08-28,PCAR
7456,2024-05-07,PLTR
7463,2024-08-06,PLTR
7464,2024-11-05,PLTR
7465,2025-02-18,PLTR
7466,2025-08-05,PLTR
7467,2025-11-04,PLTR
7468,2026-02-17,PLTR
7469,2009-11-06,PM
7498,2009-10-29,PCG
7557,2010-05-07,PNC
7558,2010-11-09,PNC
7559,2012-02-29,PNC
7567,2012-05-09,PNC
7568,2012-08-08,PNC
7572,2010-10-26,CNC
7584,2023-08-09,EXR
7601,2018-11-01,PNC
7602,2019-03-01,PNC
7603,2019-08-01,PNC
7604,2019-11-04,PNC
7608,2019-05-03,PNC
7617,2021-02-26,PNC
7626,2009-08-20,NVDA
7629,2021-08-06,PNC
7630,2021-11-03,PNC
7631,2022-02-25,PNC
7632,2022-05-04,PNC
7670,2009-08-05,CNP
7671,2009-10-28,CNP
7677,2009-09-24,GIS
7678,2009-12-18,GIS
7682,2010-03-24,GIS
7704,2010-08-03,PNW
7705,2010-10-28,PNW
7787,2011-11-08,PODD
7798,2009-08-10,COF
7799,2009-11-09,COF
7800,2010-05-07,COF
7908,2011-02-08,COHR
7909,2011-05-09,COHR
8017,2021-05-14,COIN
8018,2021-08-11,COIN
8019,2021-11-10,COIN
8045,2010-09-03,COO
8079,2023-11-09,EXR
8085,2010-02-09,FAST
8095,2010-05-07,ORLY
8097,2012-05-16,PSX
8100,2012-08-03,PSX
8101,2012-11-01,PSX
8134,2024-02-29,EXR
8152,2009-08-04,COP
8154,2011-02-09,PTC
8155,2011-05-11,PTC
8160,2010-11-23,PTC
8161,2013-11-22,PTC
8162,2013-02-06,PTC
8163,2013-05-08,PTC
8168,2013-08-07,PTC
8173,2014-08-05,PTC
8174,2015-11-23,PTC
8180,2009-11-02,GLW
8183,2016-02-10,PTC
8184,2017-05-11,PTC
8188,2009-07-24,FAST
8199,2009-10-23,FAST
8217,2009-08-10,PWR
8256,2015-07-29,PYPL
8257,2015-10-29,PYPL
8260,2016-10-25,PYPL
8261,2017-02-08,PYPL
8262,2019-02-07,PYPL
8287,2009-11-25,COR
8288,2009-08-06,COR
8311,2009-07-22,QCOM
8312,2009-11-05,QCOM
8318,2011-07-20,QCOM
8339,2010-04-27,FAST
8340,2014-11-05,QCOM
8345,2012-10-24,META
8346,2015-01-28,QCOM
8349,2024-05-03,EXR
8381,2024-08-02,EXR
8389,2010-07-23,FAST
8417,2009-12-18,COST
8418,2010-03-17,COST
8419,2010-06-10,COST
8421,2010-10-21,FAST
8449,2011-02-09,FAST
8475,2012-02-27,GM
8478,2011-04-21,FAST
